created_at,entry_id,Temperature (C),Turbidity(NTU),PH
2021-08-08 02:29:30 CET,129711,24.625,33,7.21253
2021-08-08 02:29:50 CET,129712,24.625,33,7.21253
2021-08-08 02:30:09 CET,129713,24.625,34,7.19891
2021-08-08 02:30:29 CET,129714,24.625,32,7.20345
2021-08-08 02:30:48 CET,129715,24.625,32,7.19437
2021-08-08 02:31:08 CET,129716,24.625,32,7.19437
2021-08-08 02:31:27 CET,129717,24.625,32,7.21707
2021-08-08 02:31:47 CET,129718,24.625,34,7.19437
2021-08-08 02:32:06 CET,129719,24.625,34,7.21253
2021-08-08 02:32:26 CET,129720,24.625,32,7.19891
2021-08-08 02:32:45 CET,129721,24.625,33,7.19891
2021-08-08 02:33:05 CET,129722,24.5625,33,7.19437
2021-08-08 02:33:24 CET,129723,24.5625,33,7.21707
2021-08-08 02:33:44 CET,129724,24.5625,33,7.18983
2021-08-08 02:34:03 CET,129725,24.5625,33,7.19891
2021-08-08 02:34:23 CET,129726,24.5625,32,7.19891
2021-08-08 02:34:42 CET,129727,24.5,33,7.20345
2021-08-08 02:35:02 CET,129728,24.5625,33,7.20345
2021-08-08 02:35:21 CET,129729,24.5625,34,7.20345
2021-08-08 02:35:41 CET,129730,24.5625,33,7.20345
2021-08-08 02:36:01 CET,129731,24.5625,35,7.21707
2021-08-08 02:36:20 CET,129732,24.625,34,7.19437
2021-08-08 02:37:17 CET,129733,24.625,33,7.21253
2021-08-08 02:38:50 CET,129734,24.6875,33,7.21707
2021-08-08 02:39:10 CET,129735,24.75,33,7.19437
2021-08-08 02:39:29 CET,129736,24.75,34,7.21253
2021-08-08 02:39:49 CET,129737,24.75,34,7.20345
2021-08-08 02:40:08 CET,129738,24.75,34,7.19437
2021-08-08 02:40:28 CET,129739,24.75,33,7.21253
2021-08-08 02:40:47 CET,129740,24.6875,33,7.20345
2021-08-08 02:41:07 CET,129741,24.75,33,7.20345
2021-08-08 02:41:26 CET,129742,24.6875,33,7.19437
2021-08-08 02:41:46 CET,129743,24.75,33,7.19891
2021-08-08 02:43:19 CET,129744,24.6875,33,7.22161
2021-08-08 02:43:38 CET,129745,24.6875,34,7.20345
2021-08-08 02:43:58 CET,129746,24.6875,33,7.19891
2021-08-08 02:44:17 CET,129747,24.6875,35,7.19437
2021-08-08 02:44:37 CET,129748,24.75,33,7.19437
2021-08-08 02:44:56 CET,129749,24.6875,34,7.19891
2021-08-08 02:45:16 CET,129750,24.75,33,7.19891
2021-08-08 02:45:35 CET,129751,24.6875,34,7.23977
2021-08-08 02:46:31 CET,129752,24.6875,33,7.18529
2021-08-08 02:46:51 CET,129753,24.6875,34,7.19437
2021-08-08 02:47:10 CET,129754,24.625,33,7.21253
2021-08-08 02:47:30 CET,129755,24.6875,33,7.19891
2021-08-08 02:47:49 CET,129756,24.625,33,7.21253
2021-08-08 02:48:09 CET,129757,24.625,34,7.18983
2021-08-08 02:48:28 CET,129758,24.625,33,7.19437
2021-08-08 02:49:24 CET,129759,24.625,33,7.20345
2021-08-08 02:49:44 CET,129760,24.625,33,7.19437
2021-08-08 02:50:40 CET,129761,24.625,33,7.18983
2021-08-08 02:51:00 CET,129762,24.6875,34,7.19891
2021-08-08 02:51:19 CET,129763,24.6875,33,7.19891
2021-08-08 02:51:39 CET,129764,24.625,34,7.18529
2021-08-08 02:51:58 CET,129765,24.6875,34,7.19891
2021-08-08 02:52:18 CET,129766,24.6875,33,7.22615
2021-08-08 02:52:37 CET,129767,24.625,34,7.20345
2021-08-08 02:52:57 CET,129768,24.6875,34,7.19437
2021-08-08 02:53:16 CET,129769,24.625,33,7.19437
2021-08-08 02:53:36 CET,129770,24.625,33,7.19891
2021-08-08 02:53:55 CET,129771,24.625,33,7.18529
2021-08-08 02:54:15 CET,129772,24.625,34,7.19437
2021-08-08 02:54:35 CET,129773,24.625,33,7.19437
2021-08-08 02:54:54 CET,129774,24.625,33,7.22615
2021-08-08 02:55:14 CET,129775,24.625,33,7.19891
2021-08-08 02:55:33 CET,129776,24.625,33,7.21253
